id1;q1;l1;x1;y1;ref1;id2;q2;l2;x2;y2;ref2
33595;0000;L452;253540;7239740;20;33593;0000;L452;253520;7239720;20
33595;0000;L452;253540;7239740;20;33596;0000;L452;253560;7239760;20
33596;0000;L452;253560;7239760;20;33595;0000;L452;253540;7239740;20
33596;0000;L452;253560;7239760;20;33598;0000;L452;253580;7239780;20
33596;0000;L452;253560;7239760;20;33597;0000;L452;253580;7239760;20
33559;0000;L452;252940;7239360;20;33560;0000;L452;252960;7239360;20
33559;0000;L452;252940;7239360;20;33558;0000;L452;252940;7239340;20
33559;0000;L452;252940;7239360;20;33557;0000;L452;252920;7239340;20
28853;0000;L391;254060;7240060;20;33628;0000;L452;254040;7240040;20
28853;0000;L391;254060;7240060;20;33629;0000;L452;254060;7240060;20
